ID,Address,Beds,Bath,Area,Date,Action,Amount,Rate_sqft,Source
63,96-Kenbrook-Cir_San-Jose_CA_95111_M23294-56238,1bed,1bath,950sqft,12/22/2016,Sold,"$370,000",$389,MLSListings
64,96-Kenbrook-Cir_San-Jose_CA_95111_M23294-56238,1bed,1bath,950sqft,12-03-2016,Listed,"$359,000",$377,ContraCosta
65,96-Kenbrook-Cir_San-Jose_CA_95111_M23294-56238,1bed,1bath,950sqft,10/28/2016,Listed,"$359,000",$377,MLSListings
66,2108-Mendocino-Ln_San-Jose_CA_95124_M15633-81481,3bed,2.5bath,"1,535sqft",10-07-2020,Listed,"$1,088,000",$708,MLSListings
67,2108-Mendocino-Ln_San-Jose_CA_95124_M15633-81481,3bed,2.5bath,"1,535sqft",04/30/2008,Sold,"$649,000",$422,Public Record
68,2108-Mendocino-Ln_San-Jose_CA_95124_M15633-81481,3bed,2.5bath,"1,535sqft",10-07-2020,Listed,"$1,088,000",$708,MLSListings
69,2108-Mendocino-Ln_San-Jose_CA_95124_M15633-81481,3bed,2.5bath,"1,535sqft",04/30/2008,Sold,"$649,000",$422,Public Record
70,1608-Almond-Blossom-Ln_San-Jose_CA_95124_M21885-29039,6bed,4bath,"2,989sqft",10-12-2020,Listed,"$1,789,000",$598,MLSListings
71,1608-Almond-Blossom-Ln_San-Jose_CA_95124_M21885-29039,6bed,4bath,"2,989sqft",01/19/2005,Sold,"$580,000",$299,Public Record
72,1608-Almond-Blossom-Ln_San-Jose_CA_95124_M21885-29039,6bed,4bath,"2,989sqft",10-12-2020,Listed,"$1,789,000",$598,MLSListings
73,1608-Almond-Blossom-Ln_San-Jose_CA_95124_M21885-29039,6bed,4bath,"2,989sqft",01/19/2005,Sold,"$580,000",$299,Public Record
74,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",10-09-2020,Listed,"$1,375,000",$958,MLSListings
75,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",07-12-2012,Sold,"$940,000",$655,MLSListings
76,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",05/30/2012,Listed,"$950,000",$662,MLSListings
77,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",10-04-2001,Sold,"$568,000",$396,Public Record
78,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",03/29/1996,Sold,"$317,000",$221,Public Record
79,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",10-09-2020,Listed,"$1,375,000",$958,MLSListings
80,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",07-12-2012,Sold,"$940,000",$655,MLSListings
81,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",05/30/2012,Listed,"$950,000",$662,MLSListings
82,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",10-04-2001,Sold,"$568,000",$396,Public Record
83,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,3bed,2bath,"1,434sqft",03/29/1996,Sold,"$317,000",$221,Public Record
84,165-Blossom-Hill-Rd-Spc-146_San-Jose_CA_95123_M17931-51910,2bed,1bath,960sqft,10-07-2020,Listed,"$189,000",$196,MyStateMLS
85,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",10-08-2020,Listed,"$1,798,000",$843,MLSListings
86,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",04/15/2016,Sold,"$1,500,000",$697,MLSListings
87,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",03/24/2016,Listed,"$1,388,000",$645,MLSListings
88,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",03-02-2016,Listed,"$1,388,000",$645,MLSListings
89,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",10/15/2010,Sold,"$715,000",$335,Public Record
90,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",09-03-2010,Listed,"$735,000",$449,MLSListings
91,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",04-03-2001,Sold,"$710,000",$333,Public Record
92,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",10-08-2020,Listed,"$1,798,000",$843,MLSListings
93,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",04/15/2016,Sold,"$1,500,000",$697,MLSListings
94,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",03/24/2016,Listed,"$1,388,000",$645,MLSListings
95,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",03-02-2016,Listed,"$1,388,000",$645,MLSListings
96,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",10/15/2010,Sold,"$715,000",$335,Public Record
97,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",09-03-2010,Listed,"$735,000",$449,MLSListings
98,2681-Thrasher-Ln_San-Jose_CA_95125_M12278-98945,4bed,3bath,"2,132sqft",04-03-2001,Sold,"$710,000",$333,Public Record
99,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",10/13/2020,Listed,"$559,888",$467,MLSListings
100,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",05/28/2014,Price Changed,"$359,999",$300,MLSListings
101,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",05-01-2014,Listed,"$379,999",$317,MLSListings
102,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",04/30/2014,Listed,"$359,999",$300,MLSListings
103,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",03/18/1999,Sold,"$150,000",$125,Public Record
104,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",08-02-1991,Sold,"$122,000",$101,Public Record
105,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",10/13/2020,Listed,"$559,888",$467,MLSListings
106,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",05/28/2014,Price Changed,"$359,999",$300,MLSListings
107,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",05-01-2014,Listed,"$379,999",$317,MLSListings
108,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",04/30/2014,Listed,"$359,999",$300,MLSListings
109,3417-Virgo-Ln_San-Jose_CA_95111_M20390-39600,3bed,2bath,"1,197sqft",03/18/1999,Sold,"$150,000",$125,Public Record
