Zip_Code,Type,Common Cities,County,Lat,Long,City,Timezone,Daylight_savings_time_flag
92603,Standard,Irvine,Orange,33.648871,-117.764637,Irvine,-8,1
92604,Standard,Irvine,Orange,33.68762,-117.78852,Irvine,-8,1
92605,PO Box,"Huntington Beach, Huntingtn Bch",Orange,33.640302,-117.769442,Huntington Beach,-8,1
92606,Standard,Irvine,Orange,33.695576,-117.80588,Irvine,-8,1
92607,PO Box,"Laguna Niguel, Laguna Beach",Orange,33.640302,-117.769442,Laguna Niguel,-8,1
92609,PO Box,"El Toro, Lake Forest",Orange,#N/A,#N/A,#N/A,#N/A,#N/A
92610,Standard,"Foothill Ranch, El Toro, Foothill Rnch",Orange,33.685479,-117.6669,Foothill Ranch,-8,1
92612,Standard,Irvine,Orange,33.650813,-117.81771,Irvine,-8,1
92614,Standard,Irvine,Orange,33.680408,-117.82592,Irvine,-8,1
92615,PO Box,"Huntington Beach, Huntingtn Bch",Orange,33.640302,-117.769442,Huntington Beach,-8,1
92616,PO Box,Irvine,Orange,33.640302,-117.769442,Irvine,-8,1
92617,Standard,Irvine,Orange,#N/A,#N/A,#N/A,#N/A,#N/A
92618,Standard,Irvine,Orange,33.659639,-117.73948,Irvine,-8,1
92619,PO Box,Irvine,Orange,33.66985,-117.765939,Irvine,-8,1
92620,Standard,Irvine,Orange,33.714889,-117.7633,Irvine,-8,1
92623,PO Box,Irvine,Orange,33.686519,-117.830788,Irvine,-8,1
92624,Standard,"Capistrano Beach, Capo Beach, Dana Point",Orange,33.460727,-117.66467,Capistrano Beach,-8,1
92625,Standard,"Corona Del Mar, Corona Dl Mar",Orange,33.600172,-117.86823,Corona Del Mar,-8,1
92626,Standard,Costa Mesa,Orange,33.677224,-117.90863,Costa Mesa,-8,1
92627,Standard,Costa Mesa,Orange,33.647028,-117.91506,Costa Mesa,-8,1
92628,PO Box,Costa Mesa,Orange,33.640302,-117.769442,Costa Mesa,-8,1
92629,Standard,"Dana Point, Monarch Bay, Monarch Beach",Orange,33.475302,-117.70327,Dana Point,-8,1
92630,Standard,"Lake Forest, El Toro",Orange,33.640223,-117.69108,Lake Forest,-8,1
92637,Standard,"Laguna Woods, Laguna Hills",Orange,#N/A,#N/A,#N/A,#N/A,#N/A
92646,Standard,"Huntington Beach, Huntingtn Bch",Orange,33.666269,-117.9693,Huntington Beach,-8,1
92647,Standard,"Huntington Beach, Huntingtn Bch",Orange,33.725167,-118.00509,Huntington Beach,-8,1
92648,Standard,"Huntington Beach, Huntingtn Bch",Orange,33.673468,-118.00243,Huntington Beach,-8,1
92649,Standard,"Huntington Beach, Huntingtn Bch",Orange,33.720017,-118.04614,Huntington Beach,-8,1
92650,PO Box,"East Irvine, Irvine",Orange,33.640302,-117.769442,East Irvine,-8,1
92651,Standard,Laguna Beach,Orange,33.535325,-117.77192,Laguna Beach,-8,1
92652,PO Box,Laguna Beach,Orange,33.640302,-117.769442,Laguna Beach,-8,1
92653,Standard,"Laguna Hills, Aliso Viejo, Laguna Beach, Laguna Woods",Orange,33.602823,-117.71295,Laguna Hills,-8,1
92654,PO Box,"Laguna Hills, Laguna Beach, Laguna Woods",Orange,33.601673,-117.716885,Laguna Hills,-8,1
92655,Standard,Midway City,Orange,33.745166,-117.98569,Midway City,-8,1
92656,Standard,"Aliso Viejo, Laguna Beach, Laguna Hills",Orange,33.581533,-117.72474,Aliso Viejo,-8,1
92657,Standard,"Newport Coast, Newport Beach",Orange,33.610717,-117.8325,Newport Coast,-8,1
92658,PO Box,Newport Beach,Orange,33.640302,-117.769442,Newport Beach,-8,1
92659,PO Box,Newport Beach,Orange,33.611198,-117.886731,Newport Beach,-8,1
92660,Standard,Newport Beach,Orange,33.634821,-117.87453,Newport Beach,-8,1
92661,Standard,Newport Beach,Orange,33.601822,-117.89966,Newport Beach,-8,1
92662,Standard,"Newport Beach, Balboa, Balboa Island",Orange,33.606271,-117.89243,Newport Beach,-7,1
92663,Standard,Newport Beach,Orange,33.619221,-117.93087,Newport Beach,-8,1
92672,Standard,San Clemente,Orange,33.427078,-117.61401,San Clemente,-8,1
92673,Standard,San Clemente,Orange,33.462927,-117.62414,San Clemente,-8,1
92674,PO Box,San Clemente,Orange,33.438428,-117.623131,San Clemente,-8,1
92675,Standard,"San Juan Capistrano, Mission Viejo, San Juan Capo",Orange,33.500843,-117.65866,San Juan Capistrano,-8,1
92676,Standard,Silverado,Orange,33.743168,-117.63563,Silverado,-8,1
92677,Standard,"Laguna Niguel, Laguna Beach",Orange,33.531938,-117.7025,Laguna Niguel,-8,1
