ID,Address,Zip_Code,beds,baths,Area,Amount_dollar,Rate_dollar_sqft
66,1103-Munich-Ter_Sunnyvale_CA_94089_M93639-67015,94089,3,2.5,1663,1295000,778.7
67,1109-Alta-Mira-Dr-Apt-B_Santa-Clara_CA_95051_M26558-22007,95051,2,2,1067,685000,642.0
68,1110-Munich-Ter_Sunnyvale_CA_94089_M18314-95537,94089,2,2.5,1576,1199950,761.4
69,11111-Bubb-Rd_Cupertino_CA_95014_M22119-35994,95014,4,2,1859,2388000,1284.6
70,1111-Burntwood-Ct_Sunnyvale_CA_94089_M21922-93694,94089,3,2,1108,1249000,1127.3
71,1111-Morse-Ave-Spc-14_Sunnyvale_CA_94089_M27326-26074,94089,2,2,1462,219000,149.8
72,1111-Morse-Ave-Spc-149_Sunnyvale_CA_94089_M94546-68564,94089,3,2,1586,255000,160.8
73,1111-Morse-Ave-Spc-218_Sunnyvale_CA_94089_M99490-62576,94089,2,2,1484,158000,106.5
74,1112-Sultana-Dr_San-Jose_CA_95122_M13143-40188,95122,3,2,1368,838000,612.6
75,1120-Karby-Trl-102_Sunnyvale_CA_94089_M22681-38536,94089,2,2,1007,949000,942.4
76,1120-Pomeroy-Ave_Santa-Clara_CA_95051_M26756-47488,95051,2,1,947,819000,864.8
77,1121-S-Stelling-Rd_Cupertino_CA_95014_M23931-60273,95014,4,2,1602,2048888,1279.0
78,1127-Reed-Ave-Apt-B_Sunnyvale_CA_94086_M29280-23823,94086,2,1,917,673000,733.9
79,1133-Rockefeller-Dr_Sunnyvale_CA_94087_M24929-81210,94087,4,2.5,2106,2289000,1086.9
80,1140-W-MC-Kinley-Ave_Sunnyvale_CA_94086_M10450-81340,94086,3,2,1214,1700000,1400.3
81,1142-Maryann-Dr_Santa-Clara_CA_95050_M25366-08257,95050,4,2,1810,1699948,939.2
82,1143-Susan-Way_Sunnyvale_CA_94087_M23341-91030,94087,4,3,2564,1949000,760.1
83,1149-Myrtle-Dr_Sunnyvale_CA_94086_M29253-03410,94086,3,2,1148,1498000,1304.9
84,1155-Washington-St_Santa-Clara_CA_95050_M19519-42886,95050,3,2.5,1900,1699999,894.7
85,1161-Monroe-St_Santa-Clara_CA_95050_M18931-74494,95050,3,2,1512,1350000,892.9
86,1177-Buttercup-Ter_Sunnyvale_CA_94086_M22809-95286,94086,2,2.5,1152,1098888,953.9
87,1178-Lynn-Way_Sunnyvale_CA_94087_M23589-72882,94087,3,2,1566,1799000,1148.8
88,1189-Garfield-Ave_San-Jose_CA_95125_M13931-20390,95125,4,3.5,2954,2499000,846.0
89,1193-S-9th-St_San-Jose_CA_95112_M13927-34433,95112,2,2,1040,899000,864.4
90,11-McKillop-Ct_Santa-Clara_CA_95050_M13431-29183,95050,2,1,800,949999,1187.5
91,1201-Sycamore-Ter-Spc-154_Sunnyvale_CA_94086_M99634-23104,94086,2,2,960,169000,176.0
92,1201-Sycamore-Ter-Spc-9_Sunnyvale_CA_94086_M18344-57796,94086,2,1,800,158888,198.6
93,1204-Olivera-Ter_Sunnyvale_CA_94087_M19056-92029,94087,3,2.5,1372,1399888,1020.3
94,1215-Bird-Ave-Apt-105_San-Jose_CA_95125_M12925-21238,95125,2,1,749,533000,711.6
95,1217-Hester-Ave_San-Jose_CA_95126_M24829-36985,95126,3,2,1170,1288000,1100.9
96,1220-Tasman-Dr-Spc-18_Sunnyvale_CA_94089_M95458-62322,94089,2,1,672,175000,260.4
97,1220-Tasman-Dr-Spc-336_Sunnyvale_CA_94089_M95406-22093,94089,3,2,1495,349900,234.0
98,1220-Tasman-Dr-Spc-353_Sunnyvale_CA_94089_M13117-40558,94089,3,2,1610,414900,257.7
99,1220-Tasman-Dr-Spc-406_Sunnyvale_CA_94089_M97364-67973,94089,3,3,1709,389000,227.6
100,1220-Tasman-Dr-Spc-467_Sunnyvale_CA_94089_M18757-39931,94089,3,2,1200,298888,249.1
101,1220-Tasman-Dr-Spc-504_Sunnyvale_CA_94089_M92692-87983,94089,2,2,950,199000,209.5
102,1220-Tasman-Dr-Spc-522_Sunnyvale_CA_94089_M97162-55119,94089,2,1,624,99000,158.7
103,1220-Tasman-Dr-Spc-533_Sunnyvale_CA_94089_M90120-25114,94089,3,2,1441,296500,205.8
104,1225-Blackberry-Ter_Sunnyvale_CA_94087_M25035-27472,94087,3,2,1374,1375000,1000.7
105,1225-Vienna-Dr-Spc-152_Sunnyvale_CA_94089_M29591-67357,94089,3,2,1940,159900,82.4
106,1225-Vienna-Dr-Spc-214_Sunnyvale_CA_94089_M27240-05626,94089,3,2,1740,199000,114.4
107,1225-Vienna-Dr-Spc-267_Sunnyvale_CA_94089_M20255-78795,94089,3,2,1593,225000,141.2
108,1225-Vienna-Dr-Spc-289_Sunnyvale_CA_94089_M94585-92819,94089,2,2,1464,114000,77.9
109,1225-Vienna-Dr-Spc-399_Sunnyvale_CA_94089_M90526-96764,94089,3,2,1710,169000,98.8
110,1225-Vienna-Dr-Spc-448_Sunnyvale_CA_94089_M90312-40898,94089,3,2,1740,175000,100.6
111,1225-Vienna-Dr-Spc-651_Sunnyvale_CA_94089_M98405-35658,94089,2,2,1344,75000,55.8
112,1225-Vienna-Dr-Spc-83_Sunnyvale_CA_94089_M90647-51311,94089,2,1,830,35000,42.2
113,1225-Vienna-Dr-Spc-91_Sunnyvale_CA_94089_M91542-21198,94089,2,2,1392,48000,34.5
114,1226-Crescent-Ter_Sunnyvale_CA_94087_M28724-23037,94087,2,2.5,1300,1168000,898.5
115,1228-Pome-Ave_Sunnyvale_CA_94087_M25206-69806,94087,4,3,2739,2678800,978.0
116,1254-Sandia-Ave_Sunnyvale_CA_94089_M21766-04732,94089,4,2,1731,1589000,918.0
117,1255-Crowley-Ave_Santa-Clara_CA_95051_M26052-89389,95051,3,2,1026,1099950,1072.1
118,125-N-Mary-Ave-Spc-23_Sunnyvale_CA_94086_M95811-57186,94086,3,2,1520,385000,253.3
119,1265-Manzano-Way_Sunnyvale_CA_94089_M21755-61285,94089,3,2,1108,945000,852.9
120,1268-Brookings-Ln_Sunnyvale_CA_94087_M17586-70335,94087,3,2,1833,1998000,1090.0
121,1269-Poplar-Ave-Apt-309_Sunnyvale_CA_94086_M10352-75232,94086,2,2,1045,799000,764.6
122,1270-Washington-St_Santa-Clara_CA_95050_M19512-72099,95050,2,1,1077,999950,928.5
123,1275-Picasso-Dr_Sunnyvale_CA_94087_M28647-83519,94087,2,1.5,1184,1150000,971.3
124,128-Houlton-Ct_San-Jose_CA_95139_M17913-66997,95139,3,2,1120,929000,829.5
125,1296-Aberford-Dr_San-Jose_CA_95131_M10931-84489,95131,4,2,1393,998000,716.4
126,1298-Karl-St_San-Jose_CA_95122_M17719-12249,95122,6,3.5,2289,999888,436.8
127,1309-Alviso-St_Santa-Clara_CA_95050_M18522-19223,95050,3,1,1027,1049000,1021.4
128,130-E-San-Fernando-St-Apt-420_San-Jose_CA_95112_M28214-36136,95112,2,2,1622,825000,508.6
129,1312-Los-Arboles-Ave_Sunnyvale_CA_94087_M17800-98252,94087,4,3,2809,2585000,920.3
130,1315-Avoset-Ter_Sunnyvale_CA_94087_M14247-67490,94087,4,2.5,2017,2149000,1065.4
131,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,95120,4,2.5,1997,1480000,741.1
132,131-Ivory-Palm-Ter_Sunnyvale_CA_94086_M26284-93687,94086,3,3.5,1734,1388000,800.5
133,1334-Garrans-Dr_San-Jose_CA_95130_M20827-86667,95130,3,2,1368,1399000,1022.7
134,1334-Rimrock-Dr_San-Jose_CA_95120_M19278-96112,95120,5,3.5,3126,2350000,751.8
135,1340-Los-Padres-Blvd_Santa-Clara_CA_95050_M25637-37863,95050,3,1.5,1347,1298000,963.6
136,1340-Norman-Dr_Sunnyvale_CA_94087_M14460-46344,94087,2,1,827,1650000,1995.2
137,1342-Dunnock-Way_Sunnyvale_CA_94087_M12781-63273,94087,5,3.5,2524,2199000,871.2
138,1350-Oakland-Rd-Spc-82_San-Jose_CA_95112_M25924-84335,95112,2,2,880,219900,249.9
139,1359-Cherrywood-Sq_San-Jose_CA_95117_M22991-36282,95117,2,2,1056,859000,813.4
140,1363-El-Camino-Real_Santa-Clara_CA_95050_M93805-12158,95050,3,3,1626,1260999,775.5
141,1379-Selo-Dr_Sunnyvale_CA_94087_M17772-66041,94087,3,2,913,1488000,1629.8
142,1384-Turnstone-Way_Sunnyvale_CA_94087_M14071-77966,94087,5,2.5,2358,1998000,847.3
143,1400-Bowe-Ave-Apt-2007_Santa-Clara_CA_95051_M27338-56891,95051,2,2,1062,799000,752.4
144,1411-Jackson-St_Santa-Clara_CA_95050_M18745-78789,95050,2,1,1040,1099000,1056.7
145,1417-Searcy-Dr_San-Jose_CA_95118_M23467-21742,95118,3,2,1217,1148000,943.3
146,1420-Pointe-Claire-Ct_Sunnyvale_CA_94087_M17968-30660,94087,3,2,1593,2270000,1425.0
147,1424-Maryann-Dr_Santa-Clara_CA_95050_M25307-20238,95050,3,2.5,1310,1149000,877.1
148,1424-Sierra-Creek-Way_San-Jose_CA_95132_M23073-23417,95132,5,2,1952,1299000,665.5
149,1431-Belleville-Way_Sunnyvale_CA_94087_M16901-38267,94087,4,2.5,2049,2298000,1121.5
150,1451-Main-St-Apt-4_Santa-Clara_CA_95050_M12961-48568,95050,2,2,924,849000,918.8
151,1454-Firebird-Way_Sunnyvale_CA_94087_M12753-68327,94087,4,2.5,1671,1998000,1195.7
152,1471-Flamingo-Way_Sunnyvale_CA_94087_M13020-50742,94087,4,2,1553,1965800,1265.8
153,1472-Falcon-Ave_Sunnyvale_CA_94087_M13030-94188,94087,4,2,1534,1895000,1235.3
154,1474-Jamestown-Dr_Cupertino_CA_95014_M24306-12544,95014,4,2,1684,1799000,1068.3
155,1481-Nelson-Ct_Santa-Clara_CA_95054_M20959-98498,95054,4,2,1527,1318000,863.1
156,1495-Lee-Pl_San-Jose_CA_95131_M22858-02593,95131,3,2.5,1671,1035000,619.4
157,15104-Cooper-Ave_San-Jose_CA_95124_M17300-10808,95124,5,4.5,3708,2780000,749.7
158,1512-S-Stelling-Rd_Cupertino_CA_95014_M25169-20467,95014,4,2.5,1852,2198000,1186.8
159,15210-Skyview-Dr_San-Jose_CA_95132_M14804-24344,95132,4,2.5,3557,1688888,474.8
160,1532-Newport-Ave_San-Jose_CA_95125_M11367-62897,95125,4,2.5,3272,3299000,1008.3
161,1534-Willowgate-Dr_San-Jose_CA_95118_M13647-35115,95118,4,2,1233,950000,770.5
162,1550-Technology-Dr-Unit-2070_San-Jose_CA_95110_M11422-00576,95110,2,2,1133,699800,617.7
163,1550-Technology-Dr-Unit-3035_San-Jose_CA_95110_M17027-92149,95110,2,2,1133,699000,616.9
164,1555-Farmer-Pl_Santa-Clara_CA_95051_M20903-37192,95051,4,3.5,1993,1499000,752.1
165,15565-Swiss-Creek-Ln_Cupertino_CA_95014_M21744-09190,95014,6,4.5,6246,3400000,544.3
166,1560-Wawona-Dr_San-Jose_CA_95125_M27548-59567,95125,3,2,1800,1588000,882.2
167,1562-Clampett-Way_San-Jose_CA_95131_M23613-81779,95131,3,2.5,1352,998000,738.2
168,1566-Guadalajara-Dr_San-Jose_CA_95120_M21251-95310,95120,4,2.5,2013,1490000,740.2
169,1568-Warbler-Ave_Sunnyvale_CA_94087_M14977-71472,94087,3,2,1448,1750000,1208.6
170,156-Incense-Ter_Sunnyvale_CA_94086_M20650-17046,94086,4,3.5,1914,1599000,835.4
171,1586-Magpie-Ln_Sunnyvale_CA_94087_M13993-52118,94087,4,2,1837,2188000,1191.1
172,1608-Almond-Blossom-Ln_San-Jose_CA_95124_M21885-29039,95124,6,4,2989,1789000,598.5
173,1612-Vireo-Ave_Sunnyvale_CA_94087_M15299-69246,94087,5,3,2479,2068000,834.2
174,1631-Cabrillo-Ave_Santa-Clara_CA_95050_M12506-35113,95050,3,1,985,999000,1014.2
175,1635-Monroe-St_Santa-Clara_CA_95050_M96872-30866,95050,4,3,2120,1568000,739.6
176,1637-Kitchener-Dr_Sunnyvale_CA_94087_M17912-40769,94087,4,2,1768,2238000,1265.8
177,1641-Eagle-Dr_Sunnyvale_CA_94087_M13667-81684,94087,5,3,3009,2988000,993.0
178,1642-S-Wolfe-Rd_Sunnyvale_CA_94087_M15018-33460,94087,3,2,1424,1399000,982.4
179,1645-Klipspringer-Dr_San-Jose_CA_95124_M25002-44126,95124,3,2.5,1438,1399000,972.9
180,1649-Monroe-St_Santa-Clara_CA_95050_M91909-06004,95050,4,3,2358,1748000,741.3
181,1651-Cunningham-St_Santa-Clara_CA_95050_M12447-84360,95050,3,1,1021,1069900,1047.9
182,1651-Longspur-Ave_Sunnyvale_CA_94087_M14166-80781,94087,3,3,1782,2198000,1233.4
183,1652-Belleville-Way_Sunnyvale_CA_94087_M17035-91272,94087,2,1,834,880000,1055.2
184,1658-Jamestown-Dr_Cupertino_CA_95014_M24457-79783,95014,4,2.5,2337,2298800,983.7
185,165-Blossom-Hill-Rd-Spc-146_San-Jose_CA_95123_M17931-51910,95123,2,1,960,189000,196.9
186,165-Blossom-Hill-Rd-Spc-206_San-Jose_CA_95123_M96920-64267,95123,2,2,1060,189000,178.3
187,1665-Collingwood-Ave_San-Jose_CA_95125_M22460-95474,95125,4,3.5,2598,2149000,827.2
188,1670-Avina-Cir-Unit-1_Santa-Clara_CA_95054_M19757-83611,95054,3,3.5,1853,1250000,674.6
189,1685-Messina-Dr_San-Jose_CA_95132_M28405-58639,95132,3,2,1742,1228000,704.9
190,168-Brahms-Way_Sunnyvale_CA_94087_M28049-34415,94087,3,2,1056,1048000,992.4
191,1690-Civic-Center-Dr-Apt-601_Santa-Clara_CA_95050_M13282-97338,95050,3,2.5,1424,1057000,742.3
192,1691-Lupton-Ave_San-Jose_CA_95125_M20464-24554,95125,3,2,1434,1375000,958.9
193,1700-Civic-Center-Dr-Apt-203_Santa-Clara_CA_95050_M13237-88159,95050,1,1,653,500000,765.7
194,1700-Civic-Center-Dr-Apt-513_Santa-Clara_CA_95050_M13165-95832,95050,1,1,653,495000,758.0
195,1707-Chesterton-Cir_San-Jose_CA_95133_M22029-80704,95133,4,3,1707,1150888,674.2
196,1711-Civic-Center-Dr_Santa-Clara_CA_95050_M13005-71476,95050,3,2.5,1731,1139000,658.0
197,1716-Harrison-St_Santa-Clara_CA_95050_M18633-61740,95050,2,2.5,1208,748000,619.2
198,1720-Laurentian-Way_Sunnyvale_CA_94087_M18911-50761,94087,6,3,2940,2450000,833.3
199,172-N-Murphy-Ave_Sunnyvale_CA_94086_M26662-67843,94086,3,2.5,1193,1699888,1424.9
200,17310-Stevens-Canyon-Rd_Cupertino_CA_95014_M28759-98978,95014,3,1,786,2300000,2926.2
201,1734-Pomeroy-Ave_Santa-Clara_CA_95051_M11678-30189,95051,4,2,1777,1698000,955.5
202,1735-Bowers-Ave_Santa-Clara_CA_95051_M10307-66053,95051,3,3,1397,1388000,993.6
203,173-Saratoga-Ave_Santa-Clara_CA_95050_M11536-95025,95050,3,2.5,1855,1199000,646.4
204,174-Matadero-Dr_Sunnyvale_CA_94086_M15969-58890,94086,3,2,1210,1498000,1238.0
205,1750-Halford-Ave-Apt-210_Santa-Clara_CA_95051_M29751-27975,95051,1,1,732,499500,682.4
206,1750-Hudson-Dr_San-Jose_CA_95124_M21872-81593,95124,4,2,1546,1548000,1001.3
207,1753-El-Codo-Way_San-Jose_CA_95124_M16024-18519,95124,4,2,1558,1200000,770.2
208,1756-Chevalier-Dr_San-Jose_CA_95124_M17743-29460,95124,3,2,1066,1145000,1074.1
209,1769-Higgins-Ave_Santa-Clara_CA_95051_M10768-64023,95051,5,2,1302,1288888,989.9
210,1777-Lafayette-St-Unit-107_Santa-Clara_CA_95050_M21206-40579,95050,2,1,1560,838800,537.7
211,1777-Whispering-Willow-Pl_San-Jose_CA_95125_M25592-39262,95125,4,2.5,2949,1798000,609.7
212,1796-Bowers-Ave_Santa-Clara_CA_95051_M12479-89231,95051,4,2,1330,1488000,1118.8
213,1797-Hillebrant-Pl_Santa-Clara_CA_95050_M19888-63957,95050,3,3.5,1548,1250000,807.5
214,1812-Frobisher-Way_San-Jose_CA_95124_M14114-04670,95124,4,2.5,2295,1949000,849.2
215,181-Hudson-Pl_San-Jose_CA_95123_M25984-20072,95123,3,3.5,1739,799888,460.0
216,1835-Woodland-Ave_Santa-Clara_CA_95050_M10983-17834,95050,3,1.5,1685,1475000,875.4
217,1840-Catherine-St_Santa-Clara_CA_95050_M10802-69745,95050,3,2.5,1342,1249950,931.4
218,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,95131,3,2.5,1651,1058000,640.8
219,1842-University-Ave_San-Jose_CA_95126_M29090-64814,95126,4,3,2695,2799000,1038.6
220,1847-Vollmer-Way_San-Jose_CA_95116_M10061-05354,95116,3,1,1109,749900,676.2
221,18660-Runo-Ct_Cupertino_CA_95014_M26855-48857,95014,4,3,2391,2800000,1171.1
222,18760-Newsom-Ave_Cupertino_CA_95014_M26845-79942,95014,3,2,2164,2288000,1057.3
223,18770-Barnhart-Ave_Cupertino_CA_95014_M27203-92513,95014,4,2,1388,1535000,1105.9
224,1877-Hillebrant-Pl_Santa-Clara_CA_95050_M12279-08054,95050,3,3.5,1637,1295000,791.1
225,18811-Loree-Ave_Cupertino_CA_95014_M26463-82351,95014,5,2.5,1257,1648000,1311.1
226,18830-Newsom-Ave_Cupertino_CA_95014_M27096-22656,95014,3,2,1249,1668000,1335.5
227,1883-Agnew-Rd-Unit-236_Santa-Clara_CA_95054_M15977-44286,95054,3,2,1361,888888,653.1
228,1883-Agnew-Rd-Unit-252_Santa-Clara_CA_95054_M28402-78822,95054,2,2,1070,799000,746.7
229,1883-Agnew-Rd-Unit-350_Santa-Clara_CA_95054_M24382-28980,95054,2,2,1152,798000,692.7
230,1883-Agnew-Rd-Unit-357_Santa-Clara_CA_95054_M28227-63829,95054,2,2,1070,799000,746.7
231,1883-Agnew-Rd-Unit-436_Santa-Clara_CA_95054_M16235-69584,95054,3,2,1361,899800,661.1
232,18861-Barnhart-Ave_Cupertino_CA_95014_M26733-25628,95014,3,2,1196,1825000,1525.9
233,18901-Tuggle-Ave_Cupertino_CA_95014_M26820-08592,95014,3,1,886,1530000,1726.9
234,1903-Miraplaza-Ct-Apt-16_Santa-Clara_CA_95051_M29918-23117,95051,2,2,1041,799950,768.4
235,1907-Magdalena-Cir-Apt-42_Santa-Clara_CA_95051_M29651-77968,95051,2,2.5,1228,950000,773.6
236,19503-Stevens-Creek-Blvd-Ste-328_Cupertino_CA_95014_M18580-93271,95014,2,2,1102,933000,846.6
237,1953-Ceylon-Ave_San-Jose_CA_95122_M15722-67222,95122,3,1.5,960,650000,677.1
238,1972-Stanley-Ave_Santa-Clara_CA_95050_M20360-52118,95050,4,2,1714,1568000,914.8
239,19850-Portal-Plz_Cupertino_CA_95014_M25948-06287,95014,2,2.5,1326,1388800,1047.4
240,1987-Monroe-St_Santa-Clara_CA_95050_M12580-13770,95050,4,2.5,1722,1150000,667.8
241,19882-Portal-Plz_Cupertino_CA_95014_M26210-78776,95014,2,2.5,1166,999998,857.6
242,20012-Northcrest-Sq_Cupertino_CA_95014_M16429-22318,95014,2,2,1060,1200000,1132.1
243,20054-Northwind-Sq_Cupertino_CA_95014_M16347-23811,95014,1,1,1062,998000,939.7
244,202-Peppermint-Tree-Ter-Unit-2_Sunnyvale_CA_94086_M25634-40438,94086,2,2.5,1251,999000,798.6
245,20314-Northglen-Sq_Cupertino_CA_95014_M16107-24544,95014,2,2,1060,1100000,1037.7
246,203-Castillon-Way_San-Jose_CA_95119_M27779-34186,95119,4,2,2010,1099000,546.8
247,20488-Stevens-Creek-Blvd-Apt-1513_Cupertino_CA_95014_M22988-46316,95014,2,2,1324,1199950,906.3
248,20488-Stevens-Creek-Blvd-Apt-1604_Cupertino_CA_95014_M22487-06137,95014,2,2,1261,1288000,1021.4
249,20488-Stevens-Creek-Blvd-Apt-1711_Cupertino_CA_95014_M21315-71268,95014,2,2,1317,1149000,872.4
250,20488-Stevens-Creek-Blvd-Apt-2314_Cupertino_CA_95014_M15254-13385,95014,2,2,1500,1398000,932.0
251,20551-Shady-Oak-Ln_Cupertino_CA_95014_M18100-97336,95014,3,2.5,1598,1448000,906.1
252,20567-Cedarbrook-Ter_Cupertino_CA_95014_M18470-65151,95014,2,2.5,1385,1298888,937.8
253,20570-Sunrise-Dr_Cupertino_CA_95014_M23296-96373,95014,4,3,2164,2698800,1247.1
